Year,V6,V7,V8,V9,V10,V11,V12,V13,V14,R1,R2,R3,R4,R5,R6
1980,192,196,200,204,208,211,214,218,221,232,241,251,256,263,293
1981,192,196,200,204,209,213,216,220,223,234,243,253,259,266,295
1982,186,190,194,200,206,210,215,219,221,230,242,251,258,265,295
1983,189,193,197,201,205,210,215,219,221,231,241,250,257,264,293
1984,197,201,205,208,212,216,220,223,226,234,244,253,260,267,296
1985,198,202,206,211,215,219,223,226,228,237,247,256,263,269,297
1986,192,196,200,204,209,213,217,221,223,235,244,254,263,272,300
1987,187,191,195,200,205,210,214,219,221,233,241,251,261,269,298
1988,190,194,198,202,205,208,212,216,218,228,238,248,254,260,290
1989,196,200,204,207,213,215,218,220,222,235,245,255,261,267,297
1990,192,196,200,206,210,213,216,219,221,234,244,254,260,266,296
1991,181,185,189,193,197,200,203,206,209,219,229,239,245,251,281
1992,198,202,206,211,216,220,223,226,229,244,254,264,270,276,306
1993,195,199,203,207,212,215,218,221,224,235,245,255,261,267,297
1994,190,194,198,201,206,209,212,215,218,229,239,249,255,261,291
1995,196,200,204,207,213,216,219,222,225,237,247,257,263,269,299
1996,194,198,202,206,212,214,217,220,223,236,246,256,262,268,298
1997,201,205,209,212,219,222,225,228,231,242,252,262,268,274,304
1998,188,192,196,200,204,206,209,212,215,226,236,246,252,258,288
1999,185,189,193,199,205,207,210,213,216,226,236,246,252,258,288
2000,189,193,197,202,207,210,213,216,219,232,242,252,258,264,294
2001,189,193,197,201,208,210,213,216,219,232,242,252,258,264,294
2002,194,198,202,206,210,212,215,218,221,234,244,254,260,266,296
2003,196,200,204,208,213,215,218,221,224,238,248,258,264,270,300
2004,183,187,191,196,201,205,208,211,214,227,237,247,253,259,289
2005,187,191,195,202,206,208,211,214,217,231,241,251,257,263,293
2006,190,194,198,202,206,209,212,215,218,232,242,252,258,264,294
2007,185,189,193,198,201,204,207,210,213,225,235,245,251,257,287
2008,189,193,197,205,210,212,215,218,221,236,246,256,262,268,298
2009,193,197,201,205,209,211,214,217,220,236,246,256,262,268,298
2010,187,191,195,200,204,206,209,212,215,229,239,249,255,261,291
2011,192,196,200,205,210,213,216,219,222,241,251,261,267,273,303
2012,189,193,197,202,206,209,212,215,218,232,242,252,258,264,294
2013,192,196,200,205,209,211,214,217,220,235,245,255,261,267,297
2014,191,195,199,203,208,210,213,216,219,233,243,253,259,265,295
2015,189,193,197,202,207,209,212,216,219,232,242,252,258,264,294
2016,191,195,199,203,208,210,213,217,220,235,245,255,261,267,297
2017,190,194,198,202,208,212,215,218,221,237,247,257,263,269,299
