V1,V2,set
85.0,9993.0,12
0.0,6058.0,12
85.0,9993.0,12
0.0,6058.0,12
79.0,9992.0,12
3.0,6639.0,12
2.0,6304.0,12
63.0,9752.0,12
24.0,8262.0,12
4.0,6786.0,12
5.0,6946.0,12
53.0,9596.0,12
67.0,9795.0,12
50.0,9480.0,12
31.0,8590.0,12
4.0,6786.0,12
3.0,6639.0,12
44.0,9282.0,12
13.0,7550.0,12
51.0,9560.0,12
62.0,9728.0,12
69.0,9837.0,12
42.0,9264.0,12
1.0,6190.0,12
11.0,7420.0,12
10.0,7288.0,12
15.0,7700.0,12
14.0,7571.0,12
23.0,8139.0,12
73.0,9867.0,12
41.0,9242.0,12
7.0,7125.0,12
6.0,7007.0,12
25.0,8277.0,12
33.0,8798.0,12
2.0,6304.0,12
1.0,6190.0,12
32.0,8684.0,12
60.0,9709.0,12
26.0,8331.0,12
27.0,8434.0,12
9.0,7259.0,12
37.0,9063.0,12
32.0,8684.0,12
8.0,7165.0,12
36.0,8969.0,12
48.0,9440.0,12
55.0,9639.0,12
68.0,9812.0,12
49.0,9453.0,12
52.0,9572.0,12
74.0,9885.0,12
19.0,7915.0,12
20.0,7994.0,12
27.0,8434.0,12
28.0,8509.0,12
12.0,7475.0,12
57.0,9658.0,12
59.0,9707.0,12
34.0,8848.0,12
35.0,8918.0,12
77.0,9966.0,12
55.0,9639.0,12
71.0,9855.0,12
5.0,6946.0,12
6.0,7007.0,12
71.0,9855.0,12
22.0,8081.0,12
23.0,8139.0,12
45.0,9315.0,12
46.0,9373.0,12
19.0,7915.0,12
17.0,7801.0,12
18.0,7858.0,12
18.0,7858.0,12
12.0,7475.0,12
11.0,7420.0,12
17.0,7801.0,12
26.0,8331.0,12
16.0,7747.0,12
40.0,9189.0,12
36.0,8969.0,12
39.0,9138.0,12
40.0,9189.0,12
35.0,8918.0,12
33.0,8798.0,12
34.0,8848.0,12
39.0,9138.0,12
38.0,9089.0,12
16.0,7747.0,12
15.0,7700.0,12
21.0,8037.0,12
75.0,9903.0,12
76.0,9947.0,12
22.0,8081.0,12
20.0,7994.0,12
21.0,8037.0,12
67.0,9795.0,12
8.0,7165.0,12
7.0,7125.0,12
28.0,8509.0,12
29.0,8548.0,12
46.0,9373.0,12
47.0,9408.0,12
45.0,9315.0,12
47.0,9408.0,12
29.0,8548.0,12
30.0,8578.0,12
10.0,7288.0,12
9.0,7259.0,12
58.0,9684.0,12
37.0,9063.0,12
38.0,9089.0,12
77.0,9966.0,12
58.0,9684.0,12
14.0,7571.0,12
57.0,9658.0,12
76.0,9947.0,12
75.0,9903.0,12
30.0,8578.0,12
0.0,6058.0,23
83.0,9993.0,23
83.0,9993.0,23
0.0,6058.0,23
2.0,6304.0,23
3.0,6639.0,23
19.0,7896.0,23
13.0,7525.0,23
76.0,9890.0,23
65.0,9778.0,23
80.0,9933.0,23
56.0,9534.0,23
53.0,9533.0,23
4.0,6786.0,23
5.0,6946.0,23
81.0,9992.0,23
75.0,9889.0,23
3.0,6639.0,23
4.0,6786.0,23
61.0,9635.0,23
64.0,9695.0,23
1.0,6194.0,23
10.0,7297.0,23
9.0,7164.0,23
30.0,8569.0,23
59.0,9612.0,23
51.0,9473.0,23
57.0,9580.0,23
12.0,7412.0,23
20.0,8009.0,23
29.0,8549.0,23
1.0,6194.0,23
2.0,6304.0,23
52.0,9497.0,23
18.0,7795.0,23
62.0,9663.0,23
34.0,8763.0,23
42.0,9151.0,23
41.0,9055.0,23
72.0,9884.0,23
43.0,9195.0,23
67.0,9821.0,23
35.0,8786.0,23
